209
2
384
3
0	0
1	0
1	1
0	1
2	0
2	1
1	2
0	2
2	2
1.5	1.5
0.5	1.5
1.5	0.5
0.5	0.5
1	0.5
1.5	1
0.5	1
1	1.5
0.5	0
1	0.25
0.75	1
0	0.5
1.5	0
2	0.5
1.75	1
1	1.25
0.5	2
0	1.5
2	1.5
1.5	2
1	0.75
1.25	1
0.25	1
1	1.75
1.75	1.25
1.25	1.75
1.75	1.75
0.25	1.25
0.75	1.75
0.25	1.75
1.25	0.25
1.75	0.25
1.75	0.75
0.25	0.25
0.75	0.25
0.25	0.75
1.25	0.5
0.75	0.5
1.5	1.25
1.5	0.75
1.25	0.75
0.5	1.25
0.5	0.75
0.75	0.75
1.25	1.5
0.75	1.5
1.25	1.25
0.75	1.25
0.25	0
1	0.125
0.875	1
0	0.75
1.25	0
2	0.25
1.875	1
1	1.125
0.75	2
0	1.75
2	1.25
1.75	2
1	0.625
1.375	1
0.375	1
1	1.625
0.75	0
1	0.375
0.625	1
0	0.25
1.75	0
2	0.75
1.625	1
1	1.375
0.25	2
0	1.25
2	1.75
1.25	2
1	0.875
1.125	1
0.125	1
1	1.875
0.875	1.125
0.875	0.875
1.125	1.125
1.125	0.875
1.875	1.125
1.625	1.375
1.75	1.125
1.875	1.375
1.125	1.875
1.375	1.625
1.375	1.875
1.125	1.75
1.875	1.875
1.625	1.625
1.875	1.625
1.625	1.875
1.75	1.5
1.5	1.75
0.125	1.125
0.375	1.375
0.125	1.375
0.25	1.125
0.875	1.875
0.625	1.625
0.625	1.875
0.875	1.75
0.125	1.875
0.375	1.625
0.375	1.875
0.125	1.625
0.25	1.5
0.5	1.75
1.125	0.125
1.375	0.375
1.125	0.25
1.375	0.125
1.875	0.125
1.625	0.375
1.625	0.125
1.875	0.375
1.5	0.25
1.875	0.875
1.625	0.625
1.875	0.625
1.75	0.875
1.75	0.5
0.125	0.125
0.375	0.375
0.375	0.125
0.125	0.375
0.875	0.125
0.625	0.375
0.625	0.125
0.875	0.25
0.5	0.25
0.125	0.875
0.375	0.625
0.125	0.625
0.25	0.875
0.25	0.5
1.375	0.5
1.125	0.5
1.125	0.375
1.25	0.375
0.625	0.5
0.875	0.5
0.875	0.375
0.75	0.375
1.5	1.375
1.5	1.125
1.625	1.125
1.625	1.25
1.5	0.625
1.5	0.875
1.625	0.875
1.625	0.75
1.375	0.625
1.125	0.625
1.375	0.875
1.125	0.75
1.25	0.875
1.25	0.625
1.375	0.75
0.5	1.375
0.5	1.125
0.375	1.125
0.375	1.25
0.5	0.625
0.5	0.875
0.375	0.875
0.375	0.75
0.625	0.625
0.875	0.625
0.625	0.875
0.75	0.875
0.875	0.75
0.75	0.625
0.625	0.75
1.375	1.5
1.125	1.5
1.125	1.625
1.25	1.625
1.375	1.375
0.625	1.5
0.875	1.5
0.875	1.625
0.75	1.625
0.625	1.375
1.375	1.125
1.125	1.375
1.125	1.25
1.25	1.125
1.375	1.25
1.25	1.375
0.625	1.125
0.875	1.375
0.75	1.125
0.875	1.25
0.625	1.25
0.75	1.375
4	61	145
1	58	136
13	141	154
17	205	81
16	183	76
8	67	116
10	99	188
2	62	122
9	69	102
6	68	94
7	66	112
17	199	189
5	63	126
12	132	162
11	109	173
6	94	64
2	122	59
7	112	89
15	168	163
14	167	70
4	145	88
14	182	155
15	198	71
16	204	174
21	77	139
18	74	142
44	140	143
57	204	206
53	182	185
27	83	110
35	98	101
22	78	128
29	85	100
28	84	104
26	82	118
56	198	202
23	79	133
42	131	134
37	108	111
34	95	161
40	123	153
38	113	196
50	167	171
50	168	170
45	146	180
53	183	187
56	199	200
57	205	209
45	149	146
43	144	137
47	156	155
25	90	65
20	91	60
39	120	117
54	190	189
40	130	123
36	107	103
34	106	95
38	121	113
54	192	188
41	135	127
49	164	163
51	175	174
24	160	80
19	152	75
33	195	73
49	166	162
30	93	86
32	179	72
47	181	154
31	92	87
51	197	173
43	149	139
44	144	142
19	156	143
20	90	206
30	91	185
37	120	110
33	190	101
41	130	128
35	107	100
36	106	104
39	121	118
48	192	202
42	135	133
24	164	134
32	175	111
48	160	161
46	152	153
55	195	196
46	166	171
31	93	170
52	179	180
52	181	187
25	92	200
55	197	209
21	147	61
18	138	58
44	157	141
